date,open,high,low,close,volume
2025-06-18,1440.0000,1443.4400,1421.0100,1425.0000,3076099
2025-06-19,1426.0000,1433.6700,1417.1800,1426.0000,2450072
2025-06-20,1423.5800,1441.1400,1420.2000,1428.6600,3481581
2025-06-23,1420.0000,1433.0000,1405.1800,1420.0000,2672331
2025-06-24,1423.3500,1451.6800,1423.3500,1437.2000,3631151
2025-06-25,1439.1100,1449.2000,1420.5100,1435.8600,4105007
2025-06-26,1415.0000,1428.0000,1410.0800,1420.0000,3486025
2025-06-27,1420.0100,1423.0000,1403.0900,1403.0900,3824973
2025-06-30,1403.5000,1413.2300,1402.0000,1409.5200,3045730
2025-07-01,1409.0000,1411.9400,1403.3100,1405.1000,1987819
2025-07-02,1409.5000,1414.8000,1400.0000,1409.6000,2621825
2025-07-03,1412.0000,1422.6900,1408.0000,1415.6000,2441267
2025-07-04,1415.7000,1431.8900,1410.0100,1422.2200,2876691
2025-07-07,1422.2800,1423.5000,1410.0100,1410.7000,2385467
2025-07-08,1410.7100,1420.0000,1410.7000,1416.1100,1867370
2025-07-09,1415.0000,1429.9700,1414.1700,1418.8800,2774532
2025-07-10,1418.9700,1436.1800,1410.4000,1426.5000,3872503
2025-07-11,1423.1600,1458.0000,1423.1600,1427.0000,5724335
2025-07-14,1430.0000,1434.9800,1421.6000,1423.6000,2778094
2025-07-15,1420.9800,1422.9300,1408.3200,1411.0000,3540578
2025-07-16,1410.0100,1417.4900,1409.9500,1411.0300,2128605
2025-07-17,1413.9800,1423.0100,1412.8800,1416.3500,2310554
2025-07-18,1420.0000,1437.8100,1416.3800,1437.0000,4182341
2025-07-21,1436.9900,1446.8000,1435.0000,1443.0000,2620331
2025-07-22,1444.0000,1466.6000,1440.6800,1464.9800,4211898
2025-07-23,1469.0000,1495.0000,1468.9500,1475.5000,4504484
2025-07-24,1476.0000,1499.0000,1475.0000,1491.5000,3880364
2025-07-25,1491.4000,1491.4000,1453.0000,1455.0000,4191126
2025-07-28,1453.0000,1454.9900,1436.3000,1438.6600,3858632
2025-07-29,1439.6000,1448.7900,1435.0100,1439.0000,2630408
2025-07-30,1444.0000,1457.1600,1437.0000,1449.4400,3186771
2025-07-31,1443.0000,1444.8700,1418.0000,1421.6700,5179751
2025-08-01,1421.8700,1425.9600,1414.0000,1417.0000,2963559
2025-08-04,1415.0000,1419.8000,1414.0000,1419.0000,1868795
2025-08-05,1421.0000,1429.9400,1417.1100,1427.7400,2534227
2025-08-06,1429.0000,1429.0000,1419.3000,1423.8800,2369928
2025-08-07,1423.8800,1427.7000,1420.0600,1422.3500,2800134
